a	手	扌手
捿	ans	扌女十
撁	anx	扌牛玄
拏	any	手女又
损	aob	扌口贝
損	aob	扌口貝
抧	aob	扌口八
招	aod	扌口刀
揖	aof	扌口耳
扣	aoh	扌口一
捂	aoh	扌口一
抲	aoh	扌口一
攚	aoh	扌口火
拐	aol	扌口力
掊	aol	扌口立
捁	aon	扌口牛
捛	aoo	扌口口
抬	aos	扌口厶
拮	aos	扌口士
挹	aos	扌口巳
撣	aot	扌口田
挰	aow	扌口王
捃	aox	扌口彐
挌	aoz	扌口夂
摒	apb	扌尸丷
抳	apb	扌尸匕
摪	apc	扌爿寸
执	apd	扌丿丶
扷	apd	扌丿大
揼	ape	扌石水
抍	apg	扌丿廾
拞	apg	扌丿工
揅	apg	手石廾
手	aph	手丿一
托	aph	扌丿一
拓	aph	扌石一
摋	api	扌殳木
插	apj	扌丿臼
揷	apj	扌丿臼
掘	apk	扌尸凵
搌	apk	扌尸衣
挀	apk	扌丿衣
拃	apl	扌丿丨
揰	apl	扌丿里
捤	apm	扌尸毛
投	apn	扌殳乀
披	apn	扌皮乀
択	apn	扌尸乀
摨	apn	扌尸牛
据	apo	扌尸口
挶	apo	扌尸口
挢	app	扌丿丿
挿	apr	扌丿日
摥	apr	扌丿日
捶	aps	扌丿士
扦	aps	扌丿十
撀	aps	手殳士
撟	apt	扌丿冂
拖	apv	扌丿乙
扔	apv	扌丿乙
扏	apv	扌丿乙
扸	apv	扌片乙
搱	apx	扌尸辛
握	apz	扌尸至
抸	apz	扌丿之
掅	aqh	扌青一
擨	aqh	扌欠虍
摗	aqi	扌欠木
挤	aql	扌齐丨
擠	aql	扌齊丨
扻	aqn	扌欠乀
擜	aqs	扌犬十
擹	aqu	扌欠艹
指	arb	扌日匕
揭	arb	扌日勹
揚	arb	扌日勹
掍	arb	扌日比
掦	arb	扌日勹
掲	arb	扌日勹
捑	ard	扌日大
擩	are	扌雨而
撮	arf	扌日耳
捍	arg	扌日干
担	arh	扌日一
抇	arh	扌日一
搢	arh	扌日一
摴	arh	扌雨一
撍	arj	扌日旡
扖	arn	扌入乀
拽	arp	扌日丿
捪	ars	扌日氏
捏	art	扌日土
擂	art	扌雨田
撔	art	扌日亠
措	aru	扌日艹
搨	ary	扌日羽
提	arz	扌日疋
攉	arz	扌雨隹
揝	arz	扌日夂
掉	asb	扌十卜
摖	asb	扌示八
攁	asb	扌食丷
擉	asc	扌罒虫
抵	asd	扌氏丶
払	asd	扌厶丶
揣	ase	扌山而
抁	ase	扌厶儿
拚	asg	扌厶廾
括	ash	扌舌一
擐	ask	扌罒衣
把	asl	扌巳丨
擺	asl	扌罒月
捣	asn	扌山鸟
搗	asn	扌山鳥
捭	asp	扌十丿
捳	asp	扌山丿
摆	ass	扌罒厶
挨	ass	扌矢厶
掺	ass	扌彡厶
摻	ass	扌彡厶
擇	ast	扌罒土
攜	ast	扌山冂
抾	ast	扌厶土
捽	ast	扌十亠
揇	ast	扌十冂
抿	asv	扌氏乙
掾	asv	扌豕乙
扺	asv	扌氏乙
抮	asv	扌彡人
摧	asz	扌山隹
攞	asz	扌罒隹
挛	atb	手亠八
抃	atb	扌亠卜
播	atc	扌田采
摼	atc	扌土臣
挍	atf	扌亠父
扗	ath	扌土一
抯	ath	扌冂一
抗	atj	扌亠几
攘	atk	扌亠衣
揋	atk	扌田衣
抽	atl	扌田丨
押	atl	扌田丨
攍	atn	扌亠女
撂	ato	扌田口
挏	ato	扌冂口
揊	ato	扌田口
揨	ato	扌亠口
摯	atp	手土丿
摰	atp	手土丿
擅	atr	扌亠日
掆	ats	扌冂山
挂	att	扌土土
抩	att	扌冂土
摛	att	扌亠冂
攂	att	扌田田
搆	atu	扌土艹
挫	atv	扌土人
抐	atv	扌冂人
掠	atx	扌亠小
搐	atx	扌田玄
擋	atx	扌田小
摚	atx	扌土小
擁	atz	扌亠隹
拲	aub	手艹八
搊	aub	扌艸勹
摸	aud	扌艹大
拦	aue	扌艹二
揕	auf	扌艹匚
搑	auf	扌艹耳
搽	aui	扌艹木
擛	aui	扌艹木
擆	aul	扌艹耂
掿	auo	扌艹口
摹	aur	手艹日
擖	aur	扌艹日
撶	aus	扌艹十
攃	aus	扌艹示
描	aut	扌艹田
搭	auv	扌艹人
擭	auy	扌艹又
搿	ava	手人手
抡	avb	扌人匕
拊	avc	扌亻寸
捡	avd	扌人丶
拎	avd	扌人丶
扵	avd	扌人丶
揜	avg	扌人廾
捈	avi	扌人木
抢	avj	扌人卩
扎	avk	扌乙〇
揄	avl	扌人月
扱	avn	扌乙乀
拿	avo	手人口
拾	avo	扌人口
搶	avo	扌人口
捨	avo	扌人口
掵	avo	扌人口
扬	avp	扌乙丿
扢	avp	扌乙丿
扴	avp	扌人丿
拰	avp	扌人丿
扟	avs	扌乙十
扭	avt	扌乙土
擒	avt	扌人亠
掄	avt	扌人冂
拟	avv	扌人乙
抒	avv	扌乙乙
扡	avv	扌乙乙
撿	avv	扌人人
扲	avv	扌人乙
拴	avw	扌人王
摿	avy	扌人音
撇	awb	扌攵丷
撆	awb	手攵丷
撖	awf	扌攵耳
撽	awf	扌攵方
摑	awg	扌囗戈
挵	awg	扌王廾
抂	awh	扌王一
捆	awi	扌囗木
撒	awl	扌攵月
撤	awl	扌攵月
擞	awn	扌攵女
擻	awn	扌攵女
抆	awn	扌文乀
挠	awp	扌兀丿
摮	awq	手攵青
攌	aws	扌囗罒
撓	awt	扌兀土
擎	awu	手攵艹
擏	awu	扌攵艹
扤	awv	扌兀乙
掴	aww	扌囗王
撴	awz	扌攵子
撉	awz	手攵子
捴	axb	扌心八
揔	axb	扌心勹
搃	axb	扌心丷
掭	axd	扌心大
抋	axd	扌心丶
挄	axe	扌小儿
控	axg	扌穴工
撼	axg	扌心戈
搲	axg	扌穴瓜
攨	axg	扌穴瓜
扫	axh	扌彐一
拪	axh	扌西一
捎	axl	扌小月
撺	axl	扌穴丨
掌	axo	手小口
抄	axp	扌小丿
擘	axp	手辛尸
擗	axp	扌辛尸
搾	axp	扌穴丿
摠	axp	扌心丿
揬	axq	扌穴犬
搄	axr	扌忄日
揯	axr	扌忄日
撢	axr	扌西日
