a	手	扌手
嬷	nms	女麻厶
鹬	nmt	鸟矛冂
鷸	nmt	鳥矛冂
媢	nmt	女目冂
牦	nmv	牜毛乙
媼	nmw	女皿囗
嫾	nmx	女米夕
嬤	nmy	女麻幺
嬧	nmy	女皿聿
鹦	nnb	鸟女贝
鸚	nnb	鳥女貝
孆	nnb	女女貝
姧	nng	女女干
奻	nnh	女女一
婑	nnh	女女禾
牪	nnl	牜牛丨
姦	nnn	女女女
犇	nnn	牛牛牛
鴽	nno	鳥女口
鴾	nns	鳥牛厶
鶈	nns	鳥女十
鷜	nns	鳥女十
鴑	nny	鳥女又
娯	nob	女口八
鶰	nob	鳥口貝
娱	nod	女口大
娛	nod	女口大
鳴	nod	鳥口丶
妱	nod	女口刀
如	noh	女口一
鸣	noh	鸟口一
牾	noh	牜口一
鶚	noh	鳥口一
妸	noh	女口一
牱	noh	牜口一
鸮	noh	鸟口一
娪	noh	女口一
娝	noh	女口一
鴞	noh	鳥口一
鴚	noh	鳥口一
鹃	nol	鸟口月
鵑	nol	鳥口月
婄	nol	女口立
犃	nol	牜口立
鹄	non	鸟口牛
牿	non	牜口牛
鵠	non	鳥口牛
鹗	noo	鸟口口
姠	nop	女口丿
姤	nop	女口丿
始	nos	女口厶
姑	nos	女口十
嬉	nos	女口士
鸪	nos	鸟口十
牯	nos	牜口十
鴣	nos	鳥口十
姞	nos	女口士
鴶	nos	鳥口士
娲	not	女口冂
嬋	not	女口田
鷤	not	鳥口田
鴿	nov	鳥口人
姶	nov	女口人
娢	nov	女口人
姳	nox	女口夕
鵘	nox	鳥口彐
嫸	noy	女口羊
鴼	noz	鳥口夂
鵅	noz	鳥口夂
鷕	noz	鳥口隹
妮	npb	女尸匕
孎	npc	女尸虫
妖	npd	女丿大
奿	npd	女丿丶
鳲	npd	鳥尸丶
鴌	npd	鳥丿大
鴁	npd	鳥丿大
嫛	npf	女殳匚
鹥	npf	鸟殳匚
鷖	npf	鳥殳匚
牛	nph	牛丿一
妆	nph	女丬一
妝	nph	女爿一
牜	nph	牜丿一
奼	nph	女丿一
鸤	nph	鸟尸一
妬	nph	女石一
鶌	npk	鳥尸凵
妰	npl	女丿丨
姩	npl	女丿丨
媑	npl	女丿里
鷵	npl	鳥尸耂
娓	npm	女尸毛
奺	npn	女丿乀
婮	npo	女尸口
鶋	npo	鳥尸口
娇	npp	女丿丿
婣	npp	女片片
鴭	npp	鳥丿尸
妊	nps	女丿士
奷	nps	女丿十
娤	nps	女爿士
娷	nps	女丿士
鵇	nps	鳥丿十
鷇	nps	鳥殳士
嬌	npt	女丿冂
犞	npt	牜丿冂
鷮	npt	鳥丿冂
鸟	npv	鸟丿乙
奶	npv	女丿乙
鸠	npv	鸟丿乙
鳥	npv	鳥丿乙
鳩	npv	鳥丿乙
妳	npx	女丿小
姂	npz	女丿之
媉	npz	女尸至
鴔	npz	鳥丿辶
婧	nqh	女青一
鶄	nqh	鳥青一
嫰	nqi	女欠木
婊	nqk	女青衣
犔	nqm	牜气米
鵟	nqw	鳥犭王
嬜	nqy	女欠音
鸑	nqy	鳥犭言
婫	nrb	女日比
婸	nrb	女日勹
鹍	nrb	鸟日勹
鹖	nrb	鸟日勹
鵾	nrb	鳥日比
鶍	nrb	鳥日勹
鶡	nrb	鳥日勹
鷐	nrc	鳥日辰
媋	nrd	女日大
鳰	nrd	鳥入丶
嬬	nre	女雨而
犦	nre	牜日水
鸔	nre	鳥日水
娨	nrg	女日干
妲	nrh	女日一
妟	nrh	女日一
姮	nrh	女日一
嫮	nrh	女雨一
鴠	nrh	鳥日一
孀	nri	女雨木
鹴	nri	鸟雨木
鸘	nri	鳥雨木
鷃	nrn	鳥日女
孁	nro	女雨口
鵿	nrp	鳥日丿
娼	nrr	女日日
婚	nrs	女日氏
鹊	nru	鸟日艹
鵲	nru	鳥日艹
嬒	nrv	女日人
嫚	nry	女日又
媞	nrz	女日疋
鶗	nrz	鳥日疋
鸖	nrz	鳥雨隹
犢	nsb	牜士貝
婥	nsb	女十卜
嬻	nsb	女士貝
鵫	nsb	鳥十卜
鸀	nsc	鳥罒虫
犊	nsd	牜十大
鸱	nsd	鸟氏丶
鴟	nsd	鳥氏丶
牴	nsd	牜氏丶
嬎	nsd	女生刀
鴙	nsd	鳥矢丶
鴖	nsd	鳥氏丶
嬔	nsd	女生刀
鵢	nsd	鳥身丶
嬽	nsd	女罒大
媏	nse	女山而
媐	nsf	女巳匚
婩	nsg	女山干
鴘	nsg	鳥厶廾
姓	nsh	女生一
牲	nsh	牜生一
鸹	nsh	鸟舌一
鴰	nsh	鳥舌一
妛	nsh	女山一
姡	nsh	女舌一
犆	nsh	牜十一
嬛	nsk	女罒衣
鹮	nsk	鸟罒衣
牟	nsl	牛厶丨
奾	nsl	女山丨
妑	nsl	女巳丨
犤	nsl	牜罒月
婁	nso	女十口
婢	nsp	女十丿
鹎	nsp	鸟十丿
鵯	nsp	鳥十丿
鶾	nsr	鳥十日
娭	nss	女矢厶
犙	nss	牜彡厶
婻	nst	女十冂
嬕	nst	女罒土
孈	nst	女山冂
鸅	nst	鳥罒土
姄	nsv	女氏乙
嫱	nsw	女十囗
嬙	nsw	女十囗
鶨	nsx	鳥豕彑
媭	nsy	女彡页
嬃	nsy	女彡頁
鵔	nsz	鳥厶夂
鵕	nsz	鳥厶夂
鸾	ntb	鸟亠八
娈	ntb	女亠八
鵉	ntb	鳥亠八
嬏	ntc	女田采
鶅	ntc	鳥田巛
鷭	ntc	鳥田采
媹	ntd	女田刀
鴫	ntd	鳥田丶
鶹	ntd	鳥田刀
姣	ntf	女亠父
鵁	ntf	鳥亠父
婞	ntg	女土干
姐	nth	女冂一
娉	nth	女田一
牡	nth	牜土一
妔	ntj	女亠几
牨	ntj	牜亠几
媴	ntk	女土衣
嬢	ntk	女亠衣
孃	ntk	女亠衣
鸭	ntl	鸟田丨
嬴	ntl	女亠月
妯	ntl	女田丨
嬲	ntl	女田力
鴨	ntl	鳥田丨
牰	ntl	牜田丨
娚	ntl	女田力
嫐	ntl	女田力
鸁	ntl	鳥亠月
牽	ntm	牛亠冖
婷	nto	女亠口
媧	nto	女冂口
姛	nto	女冂口
婤	nto	女冂口
鵰	nto	鳥冂口
鶝	nto	鳥田口
鷙	ntp	鳥土丿
嬗	ntr	女亠日
鹯	ntr	鸟亠日
鸇	ntr	鳥亠日
犅	nts	牜冂山
鷝	nts	鳥田十
娃	ntt	女土土
姗	ntt	女冂冂
姍	ntt	女冂冂
姌	ntt	女冂土
媀	ntt	女田冂
鴅	ntt	鳥冂亠
鵱	ntt	鳥土土
鸓	ntt	鳥田田
媾	ntu	女土艹
妄	ntv	女亠乙
牤	ntv	牜亠乙
妠	ntv	女冂人
姟	ntv	女亠人
婛	ntx	女亠小
鶁	ntx	鳥亠小
鹑	ntz	鸟亠子
鶉	ntz	鳥亠子
犉	ntz	牜亠子
媰	nub	女艸勹
犓	nub	牜艸勹
鶵	nub	鳥艸勹
嫫	nud	女艹大
媖	nud	女艹大
嫨	nud	女艹大
鶧	nud	鳥艹大
媅	nuf	女艹匚
媶	nuf	女艹耳
鷋	nui	鳥艹木
鶜	num	鳥艹矛
孏	num	女艹門
婼	nuo	女艹口
嬊	nuo	女艹口
鷰	nuo	鳥艹口
嬞	nup	女艹丿
嬅	nus	女艹十
鹲	nus	鸟艹豕
鷨	nus	鳥艹十
鸏	nus	鳥艹豕
鹋	nut	鸟艹田
鶓	nut	鳥艹田
媌	nut	女艹田
嫤	nut	女艹土
婲	nuv	女艹亻
鴱	nux	鳥艹乂
鹱	nuy	鸟艹又
鸌	nuy	鳥艹又
犕	nuy	牜艹用
嬳	nuy	女艹又
鹳	nuz	鸟艹隹
鸛	nuz	鳥艹隹
孉	nuz	女艹隹
姇	nvc	女亻寸
姈	nvd	女人丶
鸰	nvd	鸟人丶
鴒	nvd	鳥人丶
媕	nvg	女人廾
鸺	nvi	鸟亻木
鵂	nvi	鳥亻木
鵌	nvi	鳥人木
鸧	nvj	鸟人卩
鳦	nvk	鳥乙〇
媮	nvl	女人月
婾	nvl	女人月
鸽	nvo	鸟人口
媬	nvo	女亻口
鵨	nvo	鳥人口
鶬	nvo	鳥人口
女	nvp	女乙丿
妎	nvp	女人丿
姙	nvp	女人丿
鵀	nvp	鳥亻丿
鳵	nvs	鳥乙十
妞	nvt	女乙土
婨	nvt	女人冂
鸙	nvt	鳥人冂
她	nvv	女乙乙
姒	nvv	女人乙
妤	nvv	女乙乙
妗	nvv	女人乙
牠	nvv	牜乙乙
娰	nvv	女亻人
鳹	nvv	鳥人乙
嬐	nvv	女人人
姾	nvw	女人王
牷	nvw	牜人王
牮	nvy	牛亻弋
鴏	nvy	鳥亻弋
嫳	nwb	女攵丷
鷩	nwb	鳥攵丷
嫠	nwc	女攵厂
姻	nwd	女囗大
鳿	nwd	鳥王丶
鳼	nwd	鳥文丶
鴍	nwd	鳥文丶
牭	nwe	牜囗儿
嬓	nwf	女攵方
鸄	nwf	鳥攵方
嫩	nwi	女攵木
鷘	nwi	鳥攵木
媺	nwj	女攵几
媁	nwl	女韋丨
鹜	nwm	鸟攵矛
婺	nwm	女攵矛
鶩	nwm	鳥攵矛
牧	nwn	牜攵乀
妏	nwn	女文乀
婟	nwo	女囗口
娆	nwp	女兀丿
嫯	nwq	女攵青
鷔	nwq	鳥攵青
嬈	nwt	女兀土
嬍	nww	女攵王
犜	nwz	牜攵子
鷻	nwz	鳥攵子
嬨	nxb	女心丷
妶	nxd	女玄丶
婖	nxd	女心大
姯	nxe	女小儿
娽	nxe	女彐水
鵦	nxe	鳥彐水
嫕	nxf	女心匚
嬺	nxf	女心匚
鵼	nxg	鳥穴工
妇	nxh	女彐一
牺	nxh	牜西一
鷅	nxi	鳥西木
鸳	nxj	鸟夕卩
婦	nxj	女彐巾
鴛	nxj	鳥夕卩
妴	nxj	女夕卩
鵋	nxj	鳥心己
娋	nxl	女小月
婹	nxn	女西女
嫴	nxo	女辛口
妙	nxp	女小丿
嬖	nxp	女辛尸
妼	nxp	女心丿
鴓	nxp	鳥心丿
鷿	nxp	鳥辛尸
鸊	nxp	鳥辛尸
鶟	nxq	鳥穴犬
鷣	nxr	鳥西日
嫖	nxs	女西示
娡	nxs	女心士
媤	nxt	女心田
鵺	nxt	鳥夕亠
姼	nxx	女夕夕
嬑	nxy	女心音
鷾	nxy	鳥心音
媳	nxz	女心自
嬡	nxz	女心爫
鹔	nyb	鸟聿八
鹟	nyb	鸟羽八
鶲	nyb	鳥羽八
鴉	nyd	鳥牙丶
鳶	nyd	鳥弋丶
妭	nyd	女又丶
媄	nyd	女羊大
鳮	nyd	鳥又丶
鴹	nyd	鳥羊丶
鵏	nyd	鳥用丶
鶕	nyd	鳥音丶
鷠	nyd	鳥魚丶
孌	nyf	女言糹
鸞	nyf	鳥言糹
犧	nyg	牜羊戈
嬟	nyg	女羊戈
犠	nyg	牜羊戈
鸃	nyg	鳥羊戈
鸡	nyh	鸟又一
姜	nyh	女羊一
鸦	nyh	鸟牙一
鸢	nyh	鸟弋一
娮	nyh	女言一
鸈	nyi	鳥业木
嫂	nyj	女又臼
鴢	nyl	鳥幺力
奴	nyn	女又乀
娗	nyp	女廴丿
娫	nyp	女廴丿
婽	nyp	女又尸
犌	nyp	牜又尸
鷫	nyp	鳥聿片
鹨	nys	鸟羽彡
鷚	nys	鳥羽彡
嫪	nys	女羽彡
鹫	nyt	鸟尢亠
鷲	nyt	鳥尢亠
嫿	nyt	女聿田
嬆	nyv	女羽人
婌	nyx	女又小
鸶	nyy	鸟幺幺
犍	nyy	牜廴聿
娺	nyy	女又又
鵽	nyy	鳥又又
嬥	nyz	女羽隹
孇	nyz	女又隹
鸐	nyz	鳥羽隹
犫	nyz	牛言隹
牸	nzb	牜子宀
媫	nzb	女疋卜
鴜	nzb	鳥止匕
犪	nzb	牜夂丷
鳷	nzd	鳥支丶
鴤	nzd	鳥夂丶
鵄	nzd	鳥至丶
鵃	nzd	鳥舟丶
鶏	nzd	鳥爫大
鷄	nzd	鳥爫大
鹞	nzf	鸟爫缶
鷂	nzf	鳥爫缶
媱	nzf	女爫缶
好	nzh	女子一
嫣	nzh	女止灬
妥	nzh	女爫一
鷦	nzh	鳥隹灬
姃	nzh	女止一
姪	nzh	女至一
鸼	nzh	鸟舟一
婎	nzh	女隹一
嬀	nzh	女爫灬
鴊	nzh	鳥止一
鵻	nzh	鳥隹一
鶐	nzi	鳥辶木
鷍	nzi	鳥自木
嫍	nzj	女爫臼
鹤	nzm	鸟隹冖
嫒	nzm	女爫冖
鶴	nzm	鳥隹冖
鸜	nzm	鳥隹目
妓	nzn	女支乀
娖	nzn	女足乀
娞	nzn	女爫女
鵎	nzn	鳥爫女
鹭	nzo	鸟足口
鷺	nzo	鳥足口
婬	nzp	女爫丿
媻	nzp	女舟殳
鹁	nzs	鸟子十
鵓	nzs	鳥子十
嬘	nzs	女辶豕
嬯	nzs	女至士
鶽	nzs	鳥隹十
鷱	nzs	鳥自十
婈	nzt	女夂土
婕	nzy	女疋聿
媛	nzy	女爫又
鹉	nzy	鸟止弋
鵡	nzy	鳥止弋
娬	nzy	女止弋
鶢	nzy	鳥爫又
娐	nzz	女爫子
犨	nzz	牛隹隹
啪	oab	口扌白
唞	oad	口扌斗
咑	oah	口扌一
哲	oaj	口扌斤
哳	oaj	口扌斤
啦	oal	口扌立
嚤	oam	口手麻
咔	obb	口卜卜
喈	obb	口白比
呁	obb	口勹冫
咜	obb	口宀匕
啲	obb	口白勹
员	obd	口贝丶
呗	obd	口贝丶
噔	obd	口癶豆
卟	obd	口卜丶
員	obd	口貝丶
唄	obd	口貝丶
咲	obd	口丷大
唴	obe	口丷儿
哾	obe	口丷儿
囋	obe	口貝儿
啕	obf	口勹缶
唝	obg	口贝工
嗊	obg	口貝工
句	obh	口勹一
唣	obh	口白一
咟	obh	口白一
唍	obh	口宀一
喣	obh	口勹灬
唜	obi	口匕木
哅	obk	口勹凵
吖	obl	口丷丨
嘳	obl	口貝丨
嚊	obl	口鼻丨
只	obn	口八乀
叭	obn	口八乀
咹	obn	口宀女
哰	obn	口宀牛
喀	obo	口宀口
呫	obo	口卜口
呴	obo	口勹口
嗐	obo	口宀口
吻	obp	口勹丿
咤	obp	口宀丿
啧	obq	口贝青
咨	obq	口冫欠
嘖	obq	口貝青
喧	obr	口宀日
咰	obr	口勹日
囎	obr	口貝日
喷	obs	口贝十
嗔	obs	口八十
咆	obs	口勹巳
嚓	obs	口宀示
嗥	obs	口白十
噴	obs	口貝十
巼	obs	口匕巳
唟	obs	口匕厶
唕	obs	口白十
嗴	obs	口丷厶
嗭	obs	口匕十
噑	obs	口白十
噀	obs	口八巳
噻	obt	口宀土
啩	obt	口卜土
唺	obt	口八冂
啴	obt	口丷田
哄	obu	口八艹
唭	obu	口八艹
叱	obv	口匕乙
咛	obv	口宀乙
吡	obv	口比乙
唥	obv	口冫亻
嗿	obv	口貝人
喤	obw	口白王
嚽	obw	口貝攵
唢	obx	口贝小
嗩	obx	口貝小
嚀	obx	口宀心
啘	obx	口宀夕
喸	oby	口匕用
嗞	oby	口丷幺
嗛	oby	口丷聿
啶	obz	口宀疋
嚇	occ	口赤赤
囀	occ	口車寸
嗕	occ	口寸辰
哧	ocd	口赤丶
吋	ocd	口寸丶
喌	ocd	口川丶
囓	ocd	口齒刀
啭	och	口车一
哘	och	口彳一
呃	ocj	口厂卩
呖	ocl	口厂力
啮	ocl	口齿丨
喱	ocl	口厂里
嚙	ocl	口齒丨
唓	ocl	口車丨
噛	ocm	口齿米
唇	ocn	口辰乀
啋	ocn	口采乀
嗈	oco	口巛口
噘	ocq	口厂欠
噂	ocq	口寸酉
嚈	ocq	口厂犬
嘚	ocr	口彳日
嗤	ocs	口虫山
嚋	ocs	口寸士
啀	oct	口厂土
囆	ocu	口虫艹
嚴	ocw	口厂攵
噥	ocw	口辰囗
噚	ocx	口寸彐
嚉	ocy	口寸业
嚦	ocz	口厂止
嘥	ocz	口彳疋
吩	odb	口刀八
哛	odb	口刀八
嚵	odb	口刀比
唤	odd	口大刀
咧	odd	口刂歹
呔	odd	口大丶
喚	odd	口大刀
喫	odd	口大刀
咦	odg	口大弓
喯	odg	口大廾
吴	odh	口大一
吞	odh	口大一
召	odh	口刀一
呋	odh	口大一
咵	odh	口大一
哣	odh	口豆一
唎	odh	口刂禾
喇	odi	口刂木
唰	odj	口刂巾
啗	odj	口刀臼
嚠	odj	口刂金
唪	odl	口大丨
呌	odl	口斗丨
噢	odm	口大米
喾	odn	口丶牛
哵	odo	口刂口
叨	odp	口刀丿
叧	odp	口刀丿
呹	odp	口大丿
噎	ods	口豆士
喹	odt	口大土
咉	odt	口大冂
唵	odt	口大田
吷	odv	口大乙
唊	odv	口大人
嘹	odx	口大小
咏	oed	口水丶
咷	oee	口儿水
呇	oeh	口水一
嚟	oeh	口水禾
嗨	oem	口氵母
呪	oeo	口儿口
啵	oep	口氵皮
吮	oes	口儿厶
吁	oev	口二乙
唦	oex	口氵小
哟	ofb	口纟勹
喲	ofb	口糹勹
辔	ofc	口纟车
嚩	ofc	口糹寸
噄	ofd	口糸刀
噝	off	口糹糸
囁	off	口耳耳
啷	ofg	口阝艮
嚮	ofg	口阝艮
啡	ofh	口非一
咠	ofh	口耳一
咡	ofh	口耳一
嚹	ofh	口缶虍
咂	ofj	口匚巾
嘟	ofl	口阝耂
喐	ofl	口阝月
啊	ofo	口阝口
嘔	ofo	口匚口
嗉	ofq	口糸青
嗦	ofs	口糸十
嗾	ofs	口方矢
唨	oft	口阝冂
嗙	oft	口方亠
哪	ofv	口阝乙
唹	ofv	口方人
哐	ofw	口匚王
呕	ofx	口匚乂
嗲	ofx	口父夕
嗫	ofy	口耳又
哦	oga	口戈扌
哴	ogd	口艮丶
嘎	ogh	口戈一
叿	ogh	口工一
咞	ogh	口廾一
咁	ogh	口甘一
咗	ogh	口工一
唂	ogh	口谷一
啔	ogh	口戈户
嗗	ogh	口骨一
嗃	ogh	口高一
嗻	ogh	口广灬
嘠	ogh	口戈一
嚝	ogh	口广黄
嚱	ogh	口戈虍
唧	ogj	口艮卩
嘅	ogj	口艮旡
嗝	ogl	口鬲丨
吲	ogl	口弓丨
呱	ogn	口瓜乀
哏	ogn	口艮乀
喴	ogn	口戈女
喊	ogo	口戈口
咈	ogp	口弓丿
哉	ogs	口戈十
嚡	ogt	口革土
啽	ogv	口廾人
嘁	ogx	口戈小
唐	ogy	口广聿
嗟	ogy	口工羊
嘰	ogy	口戈幺
喥	ogy	口广又
嘃	ogy	口广用
噟	ogz	口广隹
否	ohb	口一卜
吓	ohb	口一卜
呸	ohb	口一卜
吥	ohb	口一卜
呯	ohb	口一丷
噽	ohb	口一卜
嚸	ohb	口黑卜
嘿	ohd	口黑丶
嗪	ohd	口禾大
启	ohh	口户一
啾	ohh	口禾火
啖	ohh	口火火
咴	ohh	口火一
唬	ohj	口虍几
吨	ohk	口一凵
吾	ohl	口一丨
囇	ohl	口一鹿
嚧	ohm	口虍皿
吏	ohn	口一乀
吙	ohn	口火乀
咊	ohn	口禾乀
哥	oho	口一口
啝	oho	口禾口
噳	oho	口虍口
右	ohp	口一丿
嗚	ohp	口灬丿
嘸	ohp	口灬丿
唀	ohp	口禾丿
嗁	ohp	口虍丿
嘑	ohp	口虍丿
唳	ohq	口户犬
嘫	ohq	口灬犬
哽	ohr	口一日
噱	ohs	口虍豕
呍	ohs	口一厶
唡	oht	口一冂
啢	oht	口一冂
嚥	ohu	口灬艹
可	ohv	口一乙
号	ohv	口一乙
叮	ohv	口一乙
咝	ohv	口一乙
呭	ohv	口一乙
呝	ohv	口户乙
哑	ohy	口一业
嘘	ohy	口虍业
呒	ohy	口一尢
啞	ohy	口一业
噓	ohy	口虍业
唖	ohy	口一业
噍	ohz	口灬隹
喍	oib	口木匕
嚛	oib	口木白
味	oih	口木一
喋	oih	口木一
呠	oih	口木一
啉	oii	口木木
哚	oij	口木几
唽	oij	口木斤
呆	oin	口木乀
噪	oio	口木口
喖	oio	口木口
咮	oip	口木丿
喳	oir	口木日
唻	oiv	口木人
嗓	oiy	口木又
嘴	ojb	口角匕
嘶	ojb	口斤八
啳	ojb	口卩丷
喞	ojb	口卩白
囕	ojc	口見臣
嘝	ojd	口角斗
唲	oje	口臼儿
咘	ojh	口巾一
唫	ojh	口金一
啠	ojj	口斤斤
听	ojl	口斤丨
吊	ojl	口巾丨
叩	ojl	口卩丨
啼	ojl	口巾立
唃	ojl	口角丨
噺	ojl	口巾立
嚫	ojl	口見立
嚳	ojn	口臼牛
啻	ojt	口巾亠
叽	ojv	口几乙
哯	ojv	口見乙
唏	ojx	口巾乂
啣	ojz	口卩止
噬	okg	口竹工
咄	okk	口凵凵
囔	oks	口衣十
囖	okz	口竹隹
嗍	olb	口月丷
咾	olb	口耂匕
咙	old	口龙丶
嘞	olg	口力革
哩	olh	口里一
嚨	olh	口龍一
嘮	olh	口力火
咅	olh	口立一
哊	olh	口月一
嗋	oll	口力力
噇	oll	口立里
咖	olo	口力口
哿	olo	口力口
嘂	olo	口丨口
另	olp	口力丿
叻	olp	口力丿
哤	olp	口龙丿
呻	olr	口丨日
嗜	olr	口耂日
啫	olr	口耂日
嘲	ols	口月十
商	olt	口立冂
嘀	olt	口立冂
唷	olt	口月亠
喟	olt	口月田
啇	olt	口立冂
唠	olu	口力艹
口	olv	口丨乙
嘢	olv	口里乙
哮	olz	口耂子
啃	olz	口月止
嗌	omb	口皿丷
喗	omc	口冖車
嚂	omc	口皿臣
嗎	omd	口馬丶
嘜	omd	口麥丶
呣	omd	口母丶
吗	omh	口马一
問	omh	口門一
喕	omh	口面一
嚪	omj	口門臼
哝	omk	口冖衣
嘛	omn	口麻乀
咪	omn	口米乀
唛	omn	口麦乀
嗑	oms	口皿厶
噊	omt	口矛冂
噒	omx	口米夕
嚒	omy	口麻幺
嚍	omy	口皿聿
嘤	onb	口女贝
嚶	onb	口女貝
嘙	one	口女氵
告	onh	口牛一
吿	onh	口牛一
唩	onh	口女禾
嘄	oni	口鳥木
唼	onl	口女立
吽	onl	口牛丨
喽	onm	口女米
哞	ons	口牛厶
嘍	ons	口女十
啛	ons	口女十
呶	ony	口女又
呮	oob	口口八
啙	oob	口口匕
嚚	ooc	口口臣
営	ood	口口刀
咢	ooe	口口二
噐	oog	口口工
呵	ooh	口口一
吕	ooh	口口一
唔	ooh	口口一
吅	ooh	口口一
呺	ooh	口口一
喿	ooi	口口木
咒	ooj	口口几
哠	oon	口口牛
品	ooo	口口口
响	oop	口口丿
哭	ooq	口口犬
嘻	oos	口口士
咕	oos	口口十
咭	oos	口口士
咍	oos	口口厶
唈	oos	口口巳
喦	oos	口口山
嗣	oot	口口冂
單	oot	口口田
嘽	oot	口口田
呞	oov	口口乙
唅	oov	口口人
咯	ooz	口口夂
呢	opb	口尸匕
呼	opb	口丿丷
囑	opc	口尸虫
喬	opd	口丿大
呑	opd	口丿大
呏	opg	口丿廾
吒	oph	口丿一
嚑	oph	口丿黑
喢	opj	口丿臼
哌	opk	口丿衣
啒	opk	口尸凵
咋	opl	口丿丨
喠	opl	口丿里
呜	opm	口丿马
嚰	opm	口石麻
史	opn	口丿乀
吺	opn	口殳乀
呎	opn	口尸乀
呂	opo	口丿口
啹	opo	口尸口
后	opp	口丿丿
唾	ops	口丿士
吀	ops	口丿十
吘	ops	口丿十
哖	ops	口丿十
啎	ops	口丿十
嗀	ops	口殳士
向	opt	口丿冂
嘱	opt	口尸冂
嘺	opt	口丿冂
叴	opv	口丿乙
唘	opy	口石又
喔	opz	口尸至
吠	oqd	口犬丶
嚌	oqd	口齊丶
唒	oqh	口酉一
唙	oqh	口犬火
啨	oqh	口青一
囐	oqh	口犬虍
嗽	oqi	口欠木
哜	oql	口齐丨
吹	oqn	口欠乀
器	oqo	口犬口
噷	oqy	口欠音
喝	orb	口日勹
噌	orb	口日丷
啺	orb	口日勹
嚅	ore	口雨而
嚗	ore	口日水
嘬	orf	口日耳
哻	org	口日干
呾	orh	口日一
咺	orh	口日一
噆	orj	口日旡
喅	orl	口日立
嗢	orm	口日皿
叺	orn	口入乀
唱	orr	口日日
嘈	oru	口日艹
唶	oru	口日艹
噲	orv	口日人
嗮	orx	口日西
嚐	orx	口日小
嚯	orz	口雨隹
喒	orz	口日夂
哔	osb	口十比
嘧	osb	口山宀
啅	osb	口十卜
嘪	osb	口罒貝
嘊	osc	口山厂
噣	osc	口罒虫
啄	osd	口豕丶
呩	osd	口示丶
呧	osd	口氏丶
喰	osd	口食丶
喘	ose	口山而
古	osh	口十一
台	osh	口厶一
吉	osh	口士一
吰	osh	口厶一
咶	osh	口舌一
噤	osi	口示木
噮	osk	口罒衣
吧	osl	口巳丨
叶	osl	口十丨
嘉	osl	口士力
邑	osl	口巳丨
嘣	osl	口山月
喭	osl	口彡立
喜	oso	口士口
喆	oso	口士口
嚞	oso	口士口
嚭	oso	口士口
囍	oso	口士口
啤	osp	口十丿
呄	osp	口十丿
啱	osp	口山石
唉	oss	口矢厶
嘭	oss	口彡士
嘇	oss	口彡厶
喃	ost	口十冂
嚎	ost	口豕亠
啐	ost	口十亠
呿	ost	口厶土
囏	osu	口士艹
哗	osv	口十亻
喙	osv	口豕乙
呡	osv	口氏乙
嗇	osw	口十囗
哕	osx	口山夕
啰	osx	口罒夕
嗺	osz	口山隹
嘷	osz	口十自
囉	osz	口罒隹
噃	otc	口田采
咬	otf	口亠父
啈	otg	口土干
同	oth	口冂一
吐	oth	口土一
咀	oth	口冂一
嚜	oth	口土黑
吭	otj	口亠几
喂	otk	口田衣
嚷	otk	口亠衣
呷	otl	口田丨
啁	oto	口冂口
哃	oto	口冂口
喎	oto	口冂口
喨	oto	口亠口
嘼	oto	口田口
囅	otp	口田尸
嗶	ots	口田十
周	ott	口土土
哇	ott	口土土
喁	ott	口田冂
咼	ott	口冂冂
呥	ott	口冂土
哼	otv	口亠乙
咳	otv	口亠人
呐	otv	口冂人
呙	otv	口冂人
唑	otv	口土人
吶	otv	口冂人
吂	otv	口亠乙
哋	otv	口土乙
嘡	otx	口土小
噹	otx	口田小
啍	otz	口亠子
噰	otz	口亠隹
嚲	otz	口田子
嘆	oud	口艹大
嗼	oud	口艹大
啿	ouf	口艹匚
嚆	oug	口艹高
哶	oug	口艹干
嗏	oui	口艹木
嚿	ouj	口艹臼
囒	oum	口艹門
喏	ouo	口艹口
噶	our	口艹日
嘩	ous	口艹十
囈	ous	口艹厶
喵	out	口艹田
噧	out	口艹冂
嗒	ouv	口艹人
呓	ouv	口艹乙
嗬	ouv	口艹亻
哎	oux	口艹乂
嚄	ouy	口艹又
囌	ouy	口艹魚
嚾	ouz	口艹隹
嗱	ova	口人手
吪	ovb	口亻匕
呉	ovb	口乙八
咐	ovc	口亻寸
呤	ovd	口人丶
吳	ovd	口乙大
喺	ovf	口亻糸
合	ovh	口人一
司	ovh	口乙一
哙	ovh	口人一
咻	ovi	口亻木
唋	ovi	口人木
呛	ovj	口人卩
叫	ovl	口乙丨
喻	ovl	口人月
喩	ovl	口人月
吸	ovn	口乙乀
哈	ovo	口人口
啥	ovo	口人口
嗆	ovo	口人口
哬	ovo	口亻口
吃	ovp	口乙丿
吤	ovp	口人丿
喉	ovs	口亻矢
叼	ovt	口乙√
噙	ovt	口人亠
吜	ovt	口乙土
嗧	ovt	口人冂
吟	ovv	口人乙
含	ovv	口人乙
叾	ovv	口乙乙
吔	ovv	口乙乙
咃	ovv	口亻乙
噞	ovv	口人人
嗰	ovw	口亻囗
咿	ovx	口亻彐
啂	ovz	口乙子
咽	owd	口囗大
咓	owd	口瓦丶
呬	owe	口囗儿
噉	owf	口攵耳
噭	owf	口攵方
哢	owg	口王廾
嘓	owg	口囗戈
